"id","town_name","x","y","centre","minutes"
1368,"Placid Hills",152.2504,-27.5578,"Brain Injury Rehabilitation Unit",66.2224794
1369,"Gatton",152.2751,-27.56033,"Brain Injury Rehabilitation Unit",62.54882434
1370,"Toowoomba",151.9528,-27.56216,"Brain Injury Rehabilitation Unit",88.26447445
1371,"Coochiemudlo Island",153.3328,-27.56886,"Brain Injury Rehabilitation Unit",44.25689606
1372,"Marburg",152.5954,-27.56895,"Brain Injury Rehabilitation Unit",40.25067943
1373,"Grantham",152.2012,-27.57374,"Brain Injury Rehabilitation Unit",70.15459664
1374,"Plainland",152.4165,-27.57656,"Brain Injury Rehabilitation Unit",52.16447553
1375,"Forest Hill",152.3549,-27.58999,"Brain Injury Rehabilitation Unit",57.99959716
1376,"Macleay Island",153.3615,-27.59184,"Brain Injury Rehabilitation Unit",73.83337555
1377,"Walloon",152.6725,-27.60325,"Brain Injury Rehabilitation Unit",39.82479035
1378,"Westbrook",151.8757,-27.60355,"Brain Injury Rehabilitation Unit",99.63518723
1379,"Lamb Island",153.3798,-27.62387,"Brain Injury Rehabilitation Unit",71.52496925
1380,"Thagoona",152.6257,-27.62401,"Brain Injury Rehabilitation Unit",41.63568175
1381,"Laidley",152.3938,-27.63099,"Brain Injury Rehabilitation Unit",58.33069643
1382,"Rosewood",152.5889,-27.63446,"Brain Injury Rehabilitation Unit",44.70891386
1383,"Mount Cotton",153.2508,-27.63515,"Brain Injury Rehabilitation Unit",31.84857512
1384,"Laidley Heights",152.3675,-27.63571,"Brain Injury Rehabilitation Unit",64.12887747
1385,"Wyreema",151.8542,-27.65743,"Brain Injury Rehabilitation Unit",103.00072181
1386,"Ripley",152.7864,-27.66642,"Brain Injury Rehabilitation Unit",31.42813773
1387,"Southbrook",151.7128,-27.67579,"Brain Injury Rehabilitation Unit",106.04344468
1388,"Russell Island",153.3905,-27.68322,"Brain Injury Rehabilitation Unit",79.05485061
1389,"Deebing Heights",152.7546,-27.69709,"Brain Injury Rehabilitation Unit",36.3807417
1390,"Cambooya",151.8615,-27.70633,"Brain Injury Rehabilitation Unit",106.85816831
1391,"Pittsworth",151.6329,-27.71797,"Brain Injury Rehabilitation Unit",112.37610928
1392,"Cabbage Tree Point",153.3552,-27.73664,"Gold Coast University Hospital",30.8583654
1393,"Logan Village",153.1134,-27.77455,"Brain Injury Rehabilitation Unit",41.25195715
1394,"Jacobs Well",153.3629,-27.78179,"Gold Coast University Hospital",26.07401449
1395,"Greenmount",151.9059,-27.78299,"Brain Injury Rehabilitation Unit",108.43819217
1396,"Peak Crossing",152.7294,-27.78404,"Brain Injury Rehabilitation Unit",41.480086
1397,"Harrisville",152.6677,-27.81036,"Brain Injury Rehabilitation Unit",48.79239698
1398,"Jimboomba - West",152.9618,-27.81259,"Brain Injury Rehabilitation Unit",40.15583666
1399,"Jimboomba",153.0307,-27.83265,"Brain Injury Rehabilitation Unit",38.239324
1400,"Mundoolun",153.0767,-27.86482,"Brain Injury Rehabilitation Unit",44.67092978
1401,"Cedar Grove",152.9843,-27.86655,"Brain Injury Rehabilitation Unit",42.69951376
1402,"Millmerran",151.2671,-27.87814,"Brain Injury Rehabilitation Unit",137.99248504
1403,"Cedar Vale",153.002,-27.87876,"Brain Injury Rehabilitation Unit",42.92606492
1404,"Tamborine",153.1285,-27.88138,"Gold Coast University Hospital",42.70453687
1405,"Eagle Heights",153.2054,-27.92251,"Gold Coast University Hospital",33.55756187
1406,"Clifton",151.9083,-27.92996,"Brain Injury Rehabilitation Unit",120.8941977
1407,"Maudsland",153.2774,-27.93276,"Gold Coast University Hospital",16.32209891
1408,"Kalbar",152.6229,-27.94196,"Brain Injury Rehabilitation Unit",58.29706134
1409,"Gleneagle",152.9918,-27.94234,"Brain Injury Rehabilitation Unit",50.63844965
1410,"Boyland",153.1642,-27.94939,"Gold Coast University Hospital",39.4530594
1411,"Mount Tamborine",153.2014,-27.97114,"Gold Coast University Hospital",29.05278576
1412,"Mount Nathan",153.2639,-27.97678,"Gold Coast University Hospital",22.69319355
1413,"Aratula",152.5384,-27.98409,"Brain Injury Rehabilitation Unit",62.0275709
1414,"Beaudesert",152.9992,-27.98632,"Gold Coast University Hospital",58.07224294
1415,"Gold Coast",153.4277,-27.99114,"Gold Coast University Hospital",10.86359517
1416,"Thargomindah",143.8229,-27.99583,"Roma Hospital",420.89116264
1417,"Boonah",152.6824,-27.9978,"Brain Injury Rehabilitation Unit",61.17967837
1418,"Canungra",153.1598,-28.01415,"Gold Coast University Hospital",33.14611747
1419,"Allora",151.982,-28.03472,"Brain Injury Rehabilitation Unit",109.27837318
1420,"St George",148.5812,-28.03888,"Roma Hospital",127.4871948
1421,"Lower Beechmont",153.2516,-28.04105,"Gold Coast University Hospital",24.52312735
1422,"Cunnamulla",145.6832,-28.06921,"Roma Hospital",293.9889786
1423,"Kooralbyn",152.8443,-28.08068,"Gold Coast University Hospital",76.96299924
1424,"Beechmont",153.206,-28.09893,"Gold Coast University Hospital",37.62737534
1425,"Springbrook",153.2644,-28.18766,"Gold Coast University Hospital",44.93245988
1426,"Yangan",152.2107,-28.19552,"Brain Injury Rehabilitation Unit",110.32258503
1427,"Rathdowney",152.8635,-28.20976,"Gold Coast University Hospital",80.89191179
1428,"Warwick",152.0311,-28.21745,"Brain Injury Rehabilitation Unit",110.69038149
1429,"Inglewood",151.0795,-28.41751,"Brain Injury Rehabilitation Unit",179.77983077
1430,"Goondiwindi",150.3062,-28.54799,"Roma Hospital",222.43447871
1431,"Yelarbon",150.7524,-28.57416,"Brain Injury Rehabilitation Unit",206.27735905
1432,"Dirranbandi",148.2271,-28.5841,"Roma Hospital",181.03072558
1433,"Stanthorpe",151.9327,-28.65779,"Brain Injury Rehabilitation Unit",152.3265671
1434,"Johnstone",148.5382,-28.6787,"Roma Hospital",177.32256162
1435,"Smithfield",145.690172,-16.83142,"Cairns Hospital",16.15883219
1436,"Texas",151.1692,-28.85306,"Brain Injury Rehabilitation Unit",203.98724218
1437,"Wallangarra",151.9262,-28.92345,"Brain Injury Rehabilitation Unit",176.54359463
1438,"Birdsville",139.3551,-25.8978,"Central West Sub-Acute Service",649.0484539
1439,"Durham",141.811455,-27.397056,"Central West Sub-Acute Service",542.65997685
1440,"Hungerford",144.409847,-28.996741,"Roma Hospital",423.23694638
1441,"RBWH",153.0285,-27.447,"Brain Injury Rehabilitation Unit",7.17536896
